Type Method Name Step CPU
fix E E_18 18 1.1170611328008988
fix E E_19 19 1.056736163985594
fix E E_20 20 1.0239889949078496
fix V V_18 18 1.2350910161080435
fix V V_19 19 1.1658024051364286
fix V V_20 20 1.109645385475222
fix RK4 RK4_18 18 5.214218870655067
fix RK4 RK4_19 19 4.926942225966187
fix RK4 RK4_20 20 4.679479391101971
adap RKDP RKDP_5 5 2.4057946832121004
adap RKDP RKDP_6 6 3.7275300102058964
