Step T Etot StepSize Error SunX SunY SunZ JupiterX JupiterY JupiterZ SaturnX SaturnY SaturnZ UranusX UranusY UranusZ NeptuneX NeptuneY NeptuneZ 67P/C-GX 67P/C-GY 67P/C-GZ 
13 801.3997101650141 -6.396671384433078e+22 59.62128339251739 0.33920622419027885 -0.0033649297651382774 0.006091154374358527 6.751885713423369e-05 2.638307199420016 -4.375350602915695 -0.041357452858034355 3.7585514299537475 -9.300828365299601 0.014838927885107264 -3.461621508260094 -18.817604542289903 -0.025161226795205927 -1.0116207102987285 29.86942047743029 -0.5918516506747429 -2.0174465403365494 2.115849496585056 1.2387343723981759 
14 868.0114944887208 -6.396671383826086e+22 66.61178432370674 0.4449926490617537 -0.003847134618824553 0.005760191002812252 8.180456152026639e-05 3.049085064287355 -4.071040099987566 -0.05180638692716599 4.07981201976434 -9.15668637846713 -0.00043755891034066505 -3.205635156286833 -18.875413479002205 -0.028705514080172998 -1.2218123992490457 29.862953632381117 -0.586887758029119 -2.562735128960952 1.6566753015517244 1.3177500829017244 
15 938.5007638940181 -6.396671383139929e+22 70.48926940529729 0.544039343607364 -0.004324190742817392 0.005364171020618544 9.638186952203697e-05 3.4506765317019252 -3.7050297036686413 -0.06230000263649436 4.413970666147646 -8.9911328612156 -0.016602629964945076 -2.934093392025999 -18.932737167717963 -0.03245024350879783 -1.4441737710735947 29.854510148855386 -0.5816034684169005 -3.0402574465435332 1.106366602521926 1.3500796306361875 
16 1010.1546018338481 -6.396671382307885e+22 71.6538379398301 0.7452035321532213 -0.004769153613347431 0.0049168060471795035 0.00011050219069041683 3.818971801383496 -3.2901734081826444 -0.07224537876740546 4.7470270041188565 -8.809336123837017 -0.03301006258614948 -2.6574347875358306 -18.986946280476655 -0.03624987469799144 -1.670127291484573 29.844241427531685 -0.5761990323452897 -3.419516468543409 0.5078965744998142 1.3356044928387332 
17 1078.5500162968215 -6.396671381272672e+22 68.39541446297338 0.3096084107528308 -0.005151891482129144 0.004451483238227435 0.00012320677539064525 4.128504796420584 -2.8578819192097527 -0.08094376901694143 5.058232285518241 -8.623323137679089 -0.048625287009165075 -2.392819896810639 -19.03486764713494 -0.039869434417470866 -1.8857172727134204 29.832855061918565 -0.5710097578565186 -3.686195046725266 -0.07817622318655826 1.2843158180206682 
18 1156.372832916331 -6.396671380141366e+22 77.82281661950947 0.40382579016153214 -0.005532601780160268 0.003881906471187381 0.0001366077495211066 4.425833977287909 -2.3284358881728036 -0.08976326463261791 5.403787808939241 -8.39713328144183 -0.06630993714803937 -2.0911617398117603 -19.08485079949187 -0.04397835060033789 -2.130904030053323 29.818017848229726 -0.565069209445357 -3.8856650812940314 -0.7424323938574074 1.1897599180527276 
19 1240.3402210178401 -6.3966713792502834e+22 83.96738810150927 0.2607784481615741 -0.005872589572158926 0.0032270718393394245 0.00014965096805348406 4.675717097258214 -1.720184835930331 -0.09783893481338454 5.765703888930374 -8.136125075998606 -0.08525628337490526 -1.765092120616414 -19.133354272945706 -0.0483991610521461 -2.395288953828871 29.799764512222467 -0.5586170875822044 -3.990232502180114 -1.4379211151809743 1.053803666498873 
20 1339.218025427457 -6.39667138663473e+22 98.87780440961687 0.42597647967080515 -0.006172189805494044 0.0024149601793221776 0.00016291991954495708 4.869037630717353 -0.9677089506969677 -0.10523214047998541 6.176280934354418 -7.806841556134009 -0.10733414281768865 -1.3804604610048052 -19.183248905203353 -0.05358663425350327 -2.7063804058409637 29.775285125705267 -0.5509633149641381 -3.9862508696035257 -2.2103710984933684 0.8602382874537919 
21 1444.769474445839 -6.3966714007513595e+22 105.55144901838197 0.3557176027959633 -0.0063656662800689314 0.001517104088710784 0.00017436959506460315 4.948982301486352 -0.13980299200782065 -0.11038915380490215 6.594560709331901 -7.430078541254642 -0.13055328143610642 -0.9692506108082095 -19.22789419986474 -0.05910011469087494 -3.0381444859205073 29.745594845081275 -0.5427271204497355 -3.8545396058849923 -2.9642970299393143 0.6260242234494184 
22 1561.5809843811824 -6.3966714421726834e+22 116.81150993534342 0.7849077134635642 -0.006423746915828856 0.000511620407484264 0.0001835670281395735 4.881685385333287 0.779884005620145 -0.11261682624296186 7.0315695543110825 -6.9840479405368 -0.15573458536243306 -0.5136572878251469 -19.26693714234544 -0.06516980739175778 -3.4048620995222367 29.708458797887847 -0.533534268727936 -3.583439283171928 -3.701877558911122 0.3464943407757639 
