T Sun_r_err Sun_v_err Jupiter_r_err Jupiter_v_err Saturn_r_err Saturn_v_err Uranus_r_err Uranus_v_err Neptune_r_err Neptune_v_err 67P/C-G_r_err 67P/C-G_v_err 
18 0.0035949777986345223 0.0019824809951186715 0.004236376213191376 0.0022543818363238636 0.0002789916299143325 0.000211458642017993 1.6934944710029398e-06 1.766219518592669e-06 9.318276007374427e-08 5.286207444432344e-07 0.024375034598482257 0.03535289181172136 
108.0 0.0682797697509084 0.031077666919885838 0.07970748395285882 0.03374655876864593 0.0033150873094894683 0.0023299770234768333 2.5440000002751567e-05 2.7846389642577427e-05 1.5776299469579904e-06 1.0891647932980423e-05 0.6364400085627093 1.4639664431704018 
108.0 0.024775894591354285 0.01196969734904398 0.028914761051903153 0.013010252538565284 0.0012211975255200962 0.0008940458781457396 9.466262669119073e-06 1.055089018877088e-05 5.803306843979633e-07 3.9375143936615454e-06 0.20578647215698515 0.43931930422886317 
237.31823216114825 0.05104054188399638 0.023777067522994674 0.0568334290050102 0.024244317523283748 0.0010720152479186348 0.0004899868959386432 1.8962379742901924e-05 1.186856014649994e-05 1.0660767021849581e-06 7.957856501482841e-06 0.5975898307169869 1.46234592131973 
237.31823216114825 0.01869851435253087 0.009031371272975628 0.020806033323142816 0.009210308357785555 0.00039629195191707485 0.00019927646920616437 6.936628258762575e-06 4.620238075315941e-06 3.9196114792311864e-07 2.9094246144044906e-06 0.21553372932035386 0.4512898808439965 
349.60438206710865 0.043279367472129925 0.022603101949279468 0.04396317943349298 0.0212277203927941 0.0004155247539823566 7.301194666365989e-05 1.5552766271107408e-05 4.388217953791412e-06 7.730501297769507e-07 5.698070611061446e-06 0.7660830161175151 1.140815177649244 
349.60438206710865 0.021747082104710155 0.01151668571075321 0.022078947524462378 0.010814799668605345 0.0002089953728852894 4.3353853071179516e-05 7.697702800081851e-06 2.315850236032041e-06 3.8710812243455055e-07 2.8579581047278673e-06 0.3915245762283098 0.5238717248987997 
452.7893106792994 0.029655230651725293 0.010258426752593959 0.03905878828223902 0.012644510342342076 0.0002179434336172843 3.0333422718023775e-05 5.943648087083468e-06 1.7785610562147072e-06 8.114662492817027e-07 5.1742959866710316e-06 1.013725325217217 0.8779470744472717 
452.7893106792994 0.017290218629935832 0.006016315135787688 0.022791857503660102 0.007415049365231155 0.0001266656477975747 1.5935245759139075e-05 3.410594967798511e-06 1.0675884345042895e-06 4.706940919196909e-07 3.0157854368804913e-06 0.6138012552616692 0.4932985508397001 
547.5823004408976 0.015256082878061074 0.004101033249706225 0.027282430937614323 0.004852292650973986 0.00013200480846931777 2.8397417292471004e-05 2.7794248304993578e-06 9.242406275391946e-07 3.786234679859092e-07 5.4833014655677655e-06 0.7224262028297387 0.5682980408834359 
641.6440767841555 0.008151865576290664 0.002562523710163213 0.013491436540892817 0.0029653325728236993 0.0001329158661489413 2.1296544822599593e-05 2.033688060944208e-06 1.0260679165018328e-06 2.0030775931250227e-07 2.184459467668838e-06 0.5194126042942266 0.3426085588975074 
731.9875925956915 0.006895897990845198 0.002339091884168894 0.010598847793607483 0.002669970199473774 0.0002053681496128485 1.495354202996443e-05 2.1487011126601483e-06 1.5993696808136397e-06 1.6981335584240564e-07 1.454144284008271e-06 0.2731296039085173 0.256198335825206 
824.6784714937069 0.011526799749235817 0.004099047626463454 0.017057223054794398 0.004636383907899823 0.0006645574195249272 3.49862197871747e-05 4.356085171443532e-06 4.334386426276633e-06 2.895805757145825e-07 1.722961042226998e-06 0.3271915958011464 0.3828450590625391 
932.8232995903163 0.015187785322621562 0.0053417346257815124 0.022252046700846368 0.006041466184507837 0.0008281062619800412 8.624121772010883e-05 6.437521219122935e-06 7.793376419721214e-06 3.7343034914444386e-07 1.0838402807564865e-06 0.2857031385979528 0.5422467935527484 
1050.7585557716618 0.01653367060815507 0.005326413403205009 0.024784588120595478 0.006178561688290185 0.0005527401536343298 0.00011255620893189449 6.9682183178621464e-06 9.331521279173218e-06 3.5912105800091197e-07 2.9003024920138935e-07 0.25803522251185923 0.2530561983101071 
1170.7214032268378 0.04203655208172266 0.011917120759893537 0.06595760801189124 0.014472058116215365 0.0008782219717303157 0.0002605056797670925 1.6110192234948357e-05 2.1258755319881366e-05 7.432635461721286e-07 3.145736458845096e-06 0.20600248922538197 0.2685800446740972 
1312.2856154883298 0.11406869438607257 0.02887360979965604 0.19499430182354602 0.03805454691965974 0.0014458465610198627 0.0005342451894949012 3.8072097848911364e-05 4.277435204553486e-05 1.5054722946338698e-06 1.1885685583248903e-05 0.18807817683914904 0.3448148608523743 
1478.0080244915591 0.26463417036951975 0.07015582087603121 0.48793623846137796 0.09423689565743688 0.0019892380355001505 0.0008435575763495304 8.016107129137761e-05 5.991482934624546e-05 2.376206139956044e-06 2.5319798694563035e-05 0.1871761038301578 0.25075451780818386 
1662.5548385949821 0.38348823467781207 0.08314927914318362 0.3060191920913522 0.08219923814782533 0.002102680957622361 0.0009837920218431445 0.00016109614031729338 4.762977212314903e-05 2.5610112219751654e-06 2.87660223323521e-05 0.2437470136601525 0.1943696605422664 
1854.2788234283094 0.31109991515082774 0.10163680937088254 0.39972451500181055 0.06860453734910853 0.0030577402638347017 0.0015396950067597544 0.000144713984418289 1.8573912346797255e-05 3.184456462090216e-06 2.5370451518955677e-05 0.2082265814831679 0.25008501090810525 
2063.289536749095 0.39853490951554416 0.06372572005688437 0.6463904428406152 0.05039681120458409 0.004739611578938399 0.0024902589249461505 0.00013013596700442952 0.00010950614706665436 3.185331235739977e-06 1.5585994768298853e-05 0.19723692755183395 0.397541871093983 
2289.2637588416737 0.3856614117508154 0.0376121919777644 0.7461789903476774 0.04907556460403657 0.005221128676944723 0.002789170098039834 8.527109793760127e-05 9.039127352083887e-05 1.6758266351358891e-06 4.819201664408601e-05 0.21681747750974417 0.5624589287633772 
2511.186814795201 0.34789592541458464 0.07449004082925668 0.7890279590767781 0.10286751474537555 0.005602128716772588 0.0030383264196288413 5.311346249993381e-05 5.3306683873897e-05 1.0812548715338675e-06 4.214432970116469e-05 0.09015179841916122 0.2975869371769446 
2722.9626144248496 0.3383864767155817 0.0810791446902657 0.3507519591327103 0.059833786188596715 0.0064780396026899705 0.003726104094495389 3.319562319104657e-05 2.64976014118757e-05 1.1258703732375746e-06 2.09163020622061e-05 0.06616133806484154 0.2449953394084573 
2922.8108697169937 0.40919729705451996 0.106716589080426 0.3263512401090393 0.09454536055844329 0.018766108482910607 0.007618445079767307 4.748475656785695e-05 2.6151469842794053e-05 2.4568944589835566e-06 1.169736045992509e-05 0.2938900440422462 0.6128707605256541 
3144.6013235064233 0.2580175074081989 0.12768456688732147 0.26250628864074815 0.11868483522834535 0.011635754927433184 0.0048058004827325135 4.0062600908132475e-05 2.119953968882821e-05 2.590402809648899e-06 9.147612278203075e-06 0.6979767037294969 0.8176433187532638 
3364.7477187305913 0.17822438683952904 0.13266173805480405 0.23855789444030684 0.12974263301524477 0.005727732935306399 0.003636287798550894 2.6087735993441135e-05 2.2197819965311173e-05 1.834173556406005e-06 1.0365678310204783e-05 1.2566007121157607 2.0941524461734757 
3364.7477187305913 0.043843257640346994 0.03662147858338887 0.05606769063811638 0.03590404177098623 0.0013676279839875023 0.0008587162822256529 6.111729348353176e-06 4.8293069632924335e-06 4.309657861770813e-07 2.2910688271647785e-06 0.26250822846057215 0.388528267987122 
3519.0711054425024 0.07681336573520368 0.07824177881260197 0.14042351169997025 0.08435364056057719 0.0017759291049449478 0.002115779716187272 8.833299036172437e-06 9.820038080496743e-06 6.325126027872082e-07 3.840616062305843e-06 0.8683226689692514 1.9645514499450591 
3519.0711054425024 0.019734852746428267 0.02191113197051757 0.03592753559644465 0.023676261352496758 0.0004574826382615034 0.0005382172667430684 2.23986813755808e-06 2.36910485088812e-06 1.6159098170304647e-07 9.64475863342482e-07 0.1814208430978142 0.37837855679805993 
3646.631656954947 0.04088626285461278 0.0560304543988444 0.0683288326441851 0.052545378118714806 0.0006414649050187153 0.000876448174880051 3.3656182190309685e-06 4.518327307278244e-06 2.422505777568349e-07 1.4680061748611832e-06 0.5978238653508724 1.5099646942953102 
3646.631656954947 0.014304786641369714 0.02091688097553449 0.024377537290209857 0.019610492176264305 0.00022831136410770848 0.00030890844996651174 1.1858223941194777e-06 1.5484742408804995e-06 8.595086043554284e-08 5.211721301051037e-07 0.2050363333023134 0.4423910570918347 
3759.8389499386917 0.027923631305714423 0.03732103582286242 0.020971389608637876 0.028440256644479595 0.00028228677225421037 0.0002977799815573044 1.5335497765759578e-06 2.381337865950124e-06 1.1021425115332982e-07 6.396753522456643e-07 0.7301533872572177 1.1778833930626709 
