Step T Etot SunX SunY SunZ JupiterX JupiterY JupiterZ SaturnX SaturnY SaturnZ UranusX UranusY UranusZ NeptuneX NeptuneY NeptuneZ 67P/C-GX 67P/C-GY 67P/C-GZ 
0 0 -6.396671386267694e+22 0.003183924263733498 0.00636632681121385 -0.0001037240355135752 -3.012855720528178 -4.453826368884578 0.08570103046237951 -0.3637829344823236 -10.05198529143576 0.1914802045363267 -6.476078853444196 -17.84707510334656 0.01765993483425928 1.518091525282913 29.8319240856806 -0.6492182620607416 3.896916675761423 -0.6277676615986945 -1.538519133698835 
10 180 -6.3966852084326535e+22 0.0017825103107945517 0.006895558940349042 -6.97053829838736e-05 -1.822450755138969 -5.006003903169061 0.06124729379897689 0.5842613053805317 -10.044940047896826 0.1537826895055099 -5.811652165092226 -18.10895142599137 0.008041880879785189 0.9502015965432574 29.8588896344763 -0.6367221438142576 3.4695883057103107 0.8536748011989331 -1.0191023446641956 
20 360 -6.396702956990163e+22 0.0002732939043990743 0.007096504635691717 -3.16159644633187e-05 -0.5177816356630223 -5.243134016035417 0.03295048904401435 1.5267131854226146 -9.943329752669413 0.11463686609305768 -5.139103700000716 -18.345548703522496 -0.001586921525833654 0.3819700286694292 29.875112908717764 -0.6239969389799205 2.402009831613758 2.1580747884848375 -0.3166767257726943 
30 540 -6.3967242308178395e+22 -0.0012637632527039127 0.006944682347017784 8.803458363313166e-06 0.8200696457525247 -5.139327512927467 0.002524338756440651 2.4546929879594988 -9.74798622045803 0.07440904789755186 -4.45940827146513 -18.556672850422867 -0.011213207477372684 -0.18639890262883574 29.880591562170384 -0.6110472923919702 0.6962414965258037 2.8534741138831827 0.4606026088777281 
40 720 -6.396748098995774e+22 -0.0027411446541100626 0.0064352748680275755 4.956035177975448e-05 2.1020738507104855 -4.68907090875169 -0.028056696149502448 3.3594287657617143 -9.460491658127529 0.033475730579112926 -3.7735417597392633 -18.742168978122507 -0.02082383812047893 -0.754701011167614 29.87532729337983 -0.5978779313029854 -1.2400634723229003 2.559343178144256 1.0735701328265497 
50 900 -6.396773041021022e+22 -0.004068657818413068 0.005586512331449713 8.850629635674516e-05 3.236354253669288 -3.9107643094587186 -0.056657479337346946 4.232295202145176 -9.083200324924793 -0.007777728975574188 -3.082479627751164 -18.90191996447577 -0.030405800567526602 -1.3227322571447522 29.859325838164455 -0.5844936638971898 -2.7920947623204255 1.4190213959422187 1.3399110376009196 
60 1080 -6.396796890613133e+22 -0.005160178958200695 0.004441795997898512 0.0001234798193828799 4.135245049057146 -2.848945039159319 -0.08113124151279896 5.06483959463037 -8.619243504474342 -0.048959116745033074 -2.3871951208200675 -19.035845091975585 -0.039946218610236145 -1.8902888029922422 29.83259694609325 -0.5708993772975871 -3.6926994177250547 -0.08305806479500945 1.2854053925308033 
70 1260 -6.396816899053683e+22 -0.0059419059819981425 0.00306944264039839 0.0001524927287533116 4.72392770530398 -1.5740248619130117 -0.09951405230934174 5.848815534363368 -8.072512870798352 -0.08967185277626004 -1.68865742902266 -19.143899021662964 -0.04943237301511897 -2.457167070028404 29.795154339763332 -0.5571000349912542 -4.004366528323738 -1.5875197337386089 1.0215969901163968 
80 1440 -6.39683022795106e+22 -0.006361039531944213 0.0015590495418127326 0.00017393981317915332 4.9495101416707215 -0.1784869191704268 -0.11024379759150789 6.57623538891577 -7.447643009050716 -0.12951739858082115 -0.9878300171082292 -19.226071079700645 -0.05885172572651602 -3.0231637990758355 29.747015657474623 -0.5431006736301291 -3.870599684231073 -2.9236449098521664 0.6418266583366846 
90 1620 -6.396834731677219e+22 -0.006393147106528691 1.4114222850615449e-05 0.00018679428032943688 4.788722749651788 1.2308442849915855 -0.11236425133047667 7.239434334349947 -6.750004265983832 -0.16809754224255916 -0.2856691747753588 -19.28238471841653 -0.06819194337677244 -3.5880761199118734 29.688202383171813 -0.5289063992430066 -3.417072906368026 -4.023065461066003 0.2076561390108856 
100 1800 -6.396829655476385e+22 -0.006046268229497614 -0.0014583658273081685 0.00019074243640373805 4.252198649744241 2.543698523889946 -0.10566544753950374 7.831139154686154 -5.985701032028332 -0.2050168319511969 0.41687724555757744 -19.31289703093581 -0.07744091802698123 -4.151701635899293 29.61873977253501 -0.5145223830406147 -2.7392232883051437 -4.861510176748181 -0.24104055204040414 
110 1980 -6.396815897885667e+22 -0.005360406694152714 -0.0027594557061662505 0.00018621968949069417 3.3839199243602653 3.658472712065085 -0.09072057278246574 8.344540896317147 -5.161568419143277 -0.2398853378326771 1.1188709532849819 -19.317698247417404 -0.08658678470944432 -4.713838529991815 29.538656790459363 -0.4999538572257454 -1.90936986488231 -5.432385571850003 -0.6769818283563295 
120 2160 -6.396795696575559e+22 -0.004402327955085086 -0.0038085890805034475 0.00017433620507212037 2.255743696493131 4.493025543051708 -0.06880713144364103 8.773372360257243 -4.28516314871866 -0.272321807529863 1.8193842447776665 -19.296911177283043 -0.09561793600548077 -5.274285693970013 29.447986080720494 -0.4852061115049985 -0.9849008174057255 -5.7356697160732475 -1.0798137857807362 
130 2340 -6.396771919930429e+22 -0.003256956721122716 -0.004550580169380964 0.00015671297609735134 0.9583646689930297 4.992018589516702 -0.04173413011488827 9.11199105944903 -3.3647461960402163 -0.3019572355448183 2.51750095269303 -19.250690582579697 -0.10452303405917297 -5.832842871742879 29.346763987905227 -0.4702844911792624 -0.014664917555499818 -5.773325321704472 -1.4327039292536814 
140 2520 -6.396747328662629e+22 -0.0020174682732825126 -0.004958434263715052 0.0001352715736333014 -0.40909250351071147 5.129852540677332 -0.011620608683699447 9.355467550102736 -2.4092552163961285 -0.32843885091782654 3.2123173323511223 -19.179222479469093 -0.1132910204316079 -6.389310791892322 29.235030636698415 -0.4551943974301333 0.956067410467738 -5.547585161704241 -1.7201566694127786 
150 2700 -6.396724093430672e+22 -0.0007760905184721896 -0.005032311265371323 0.00011202425994353607 -1.748737604465272 4.909569373865699 0.019325571934974056 9.499678394713262 -1.4282647821767764 -0.35143451585014207 3.902942891805902 -19.08272337232263 -0.12191112416644813 -6.943491256220254 29.112830042419112 -0.43994128944153454 1.8812672625928495 -5.06075950166397 -1.9264290522521443 
160 2880 -6.396703641880106e+22 0.00038308603577984077 -0.004795820943895298 8.889835234637192e-05 -2.971476565907474 4.358954754046285 0.048993174019016456 9.541402404551054 -0.43193239322266647 -0.3706375114851006 4.588501168766264 -18.961439429566273 -0.13037286839344003 -7.495187165845612 28.980210196758467 -0.4245306866805383 2.7096220983004167 -4.316328876142465 -2.034200169244084 
170 3060 -6.396686745329934e+22 0.0013888737557349558 -0.004291026944481774 6.760978116833998e-05 -4.0020334105675515 3.5252827514793057 0.07550158948784248 9.478418182165097 0.5690717641613867 -0.38577166482634495 5.26813045565888 -18.815645612612467 -0.13866607574449893 -8.044202502166351 28.837223075079688 -0.4089681691878581 3.3789648439966267 -3.321970782451623 -2.0233524677225065 
180 3240 -6.396673710636905e+22 0.002185576769231958 -0.0035732728776939372 4.9584803260163176e-05 -4.781691418414729 2.4698687358244094 0.0972844744349493 9.309600317605973 1.5636531760891148 -0.3965967428184369 5.940984473183159 -18.64564476925854 -0.14678087280164256 -8.590342307046793 28.68392455415267 -0.39325937483677004 3.808763023819072 -2.0965663715917 -1.8700587843834486 
190 3420 -6.396664577295751e+22 0.0027339748706814255 -0.0027065003212844614 3.591976525381334e-05 -5.269351374189177 1.2631317584043171 0.1131335674485922 9.035010897605638 2.5404010001279476 -0.40291400662583327 6.606232992358808 -18.451766701395275 -0.1547076937458552 -9.133412700029261 28.520374276825585 -0.3774099943015188 3.8905270263307274 -0.6862521326137443 -1.5473892059138146 
200 3600 -6.396659272291807e+22 0.0030113185016701232 -0.0017593177088956 2.7366136903446067e-05 -5.441551123694217 -0.019562543608100915 0.1222160378089306 8.655982303710532 3.4877166628550866 -0.40457178243486 7.2630624052316906 -18.234367214408916 -0.1624372833412442 -9.673220941484237 28.346635514817443 -0.36142576538794674 3.48144093817108 0.7993643718822016 -1.0320916628600292 
210 3780 -6.3966577123472615e+22 0.0030108386220284774 -0.000801791062200336 2.432937446415905e-05 -5.291972889503582 -1.30130899641067 0.12407729468409112 8.175186664631646 4.393963207764456 -0.40147086682608457 7.910676245264239 -17.993827152838257 -0.1699606993814079 -10.20957552771833 28.162775062934855 -0.34531246804562354 2.4315508489147954 2.1168556518210657 -0.3317789153035145 
220 3960 -6.396659859654564e+22 0.0027411068453529223 9.723484130874366e-05 2.687328494382888e-05 -4.830788187357608 -2.5065201566871025 0.1186379181946898 7.596686869409013 5.247634490751623 -0.39356954803973787 8.548295660552226 -17.730551424147613 -0.1772693147614192 -10.742286298852452 27.968863172755857 -0.329075920557741 0.7356024779986512 2.8336232571739988 0.44747193704834703 
230 4140 -6.396665739374124e+22 0.0022254110287577675 0.0008725455011676116 3.472509119853639e-05 -4.084011821209417 -3.5635062060019944 0.10618966645906752 6.925963833216896 6.037542038690943 -0.3808879933351112 9.175159847537394 -17.444968010588042 -0.18435481944571072 -11.271164546007785 27.764973518416824 -0.31272197679904307 -1.2040763303608721 2.5594769487112914 1.0657852193370292 
240 4320 -6.396675422345527e+22 0.0015011568274896918 0.0014649653147349186 4.7279826232710585e-05 -3.0928744174512572 -4.40705861461203 0.08739191465204732 6.169914831443319 6.753015932915171 -0.3635117318902612 9.790526461762997 -17.137526969642238 -0.19120922281612435 -11.796023111599903 27.551183182883783 -0.2962565242239628 -2.7660198554335262 1.42929038237239 1.3366777267917351 
250 4500 -6.396688969662568e+22 0.0006191643665292294 0.0018240007861126876 6.360599197228517e-05 -1.913075024231261 -4.981282231226953 0.06326641593786442 5.336818264245499 7.384114547791931 -0.341593957338347 10.393672037636135 -16.808699430295913 -0.1978248572275462 -12.316676481205057 27.327572654691657 -0.2796854822555362 -3.675069078431847 -0.07000959821010089 1.2841951016038389 
260 4680 -6.396706330917441e+22 -0.0003574040132575014 0.0019108745557465084 8.245772474294703e-05 -0.6136360644472743 -5.242837488816866 0.035184813915713986 4.436261240169891 7.921836497581113 -0.31535638873622174 10.983892470221942 -16.458976612716853 -0.20419438397612485 -12.83294086741865 27.094225828164973 -0.2630148008341252 -3.9918216385893395 -1.5745471604363412 1.0206313119980823 
