Step T Etot StepSize Error SunX SunY SunZ JupiterX JupiterY JupiterZ SaturnX SaturnY SaturnZ UranusX UranusY UranusZ NeptuneX NeptuneY NeptuneZ 67P/C-GX 67P/C-GY 67P/C-GZ 
0 0 -6.396671386267694e+22 18 0 0.003183924263733498 0.00636632681121385 -0.0001037240355135752 -3.012855720528178 -4.453826368884578 0.08570103046237951 -0.3637829344823236 -10.05198529143576 0.1914802045363267 -6.476078853444196 -17.84707510334656 0.01765993483425928 1.518091525282913 29.8319240856806 -0.6492182620607416 3.896916675761423 -0.6277676615986945 -1.538519133698835 
1 18 -6.396671386267195e+22 18 1.6553520533429174e-05 0.0030507119409778215 0.006432971614822233 -0.00010054897619411135 -2.9010565478977894 -4.5221175850149695 0.08347121092587448 -0.26898282593562595 -10.055544641323817 0.18778589612659527 -6.410029568284286 -17.874393890696517 0.016698996082502138 1.4613237629882405 29.83510389115783 -0.6479790905427184 3.878964770635748 -0.48004348916850703 -1.4954695608772572 
2 108.0 -6.3966713864638194e+22 90.0 0.03535289181172137 0.0023602195263732837 0.006721269233640842 -8.389018752235005e-05 -2.3165781689824265 -4.820846481296015 0.0715768869959792 0.205206013863875 -10.059127597600115 0.16905598869596272 -6.078452952443268 -18.00722192081342 0.01189115288456994 1.177410210159379 29.849392212888276 -0.6417483433502494 3.7097587277082216 0.2643247839340309 -1.2506195268954008 
3 237.31823216114825 -6.396671461630014e+22 129.31823216114825 0.4393193042288633 0.001310144856946698 0.0069965989647584725 -5.794386819498696e-05 -1.415878599698643 -5.117204731728435 0.05258078684580767 0.8853829975266496 -10.022820811289394 0.14145798974619447 -5.5983264794119165 -18.187044923269763 0.004976297485170993 0.7692847706861881 29.8652215836193 -0.6326946479399175 3.2040881042503986 1.3048681788205778 -0.8129174457494905 
4 349.60438206710865 -6.3966714866750315e+22 112.28614990596043 0.4512898808439965 0.0003622361113117535 0.007094215064996599 -3.390153771156192e-05 -0.5950701898751586 -5.238415880027396 0.034664699319786926 1.4725636036635539 -9.951760173442226 0.11693181676887071 -5.178152649570927 -18.332575060614094 -0.0010307236086075965 0.4147937105652362 29.874468284695073 -0.6247380297826293 2.481954752263409 2.093672418037917 -0.36101093061725664 
5 452.7893106792994 -6.396671499821862e+22 103.18492861219073 0.5238717248987996 -0.0005206969981206772 0.0070629361267841185 -1.0955769763831316e-05 0.17293901397296085 -5.232894432197246 0.01741786355178568 2.0074099098885885 -9.854255079869295 0.09401265164005379 -4.789558341604209 -18.457573190004588 -0.006550325078601146 0.08898314747239844 29.87927888414468 -0.6173491968856442 1.5872154259422904 2.622972350937505 0.08759310127944608 
6 547.5823004408976 -6.396671506033118e+22 94.79298976159816 0.6138012552616692 -0.0013275080858086558 0.0069301950116018715 1.0521512400813155e-05 0.8755168695549471 -5.127099343765982 0.0012311311972820135 2.4932893889586416 -9.73772244963818 0.07269812430157091 -4.430639489344614 -18.565003524211313 -0.011618384493622416 -0.21033974230813313 29.88058649299138 -0.6104969701443489 0.6138836485836512 2.860482734252752 0.4915278942623298 
7 641.6440767841555 -6.396671512581812e+22 94.06177634325786 0.7224262028297386 -0.0021107788609464407 0.006700134713291794 3.190491946530633e-05 1.556392569263567 -4.926811948822848 -0.014852730350095565 2.968949274639617 -9.596836222988093 0.05135872227190373 -4.07280845946264 -18.664577475948196 -0.016642910132351117 -0.5073331153366505 29.87893896970782 -0.6036374203794103 -0.412616761372818 2.81169819940614 0.8431267731808759 
8 731.9875925956915 -6.39667151701841e+22 90.34351581153601 0.5194126042942266 -0.002834785749117934 0.0063886752669269934 5.222602497022489e-05 2.182795955643081 -4.646790813316277 -0.030038836468079422 3.4185859032477235 -9.438128185998957 0.030736367397969755 -3.7276758752795267 -18.753607863891183 -0.021462919181389123 -0.792539895759699 29.874595242439938 -0.5969932265358722 -1.3619691205988582 2.501239752464381 1.1023172124350382 
9 824.6784714937069 -6.396671523479948e+22 92.69087889801534 0.2731296039085173 -0.0035366348944320647 0.00598043661894335 7.256055577818679e-05 2.7850333854969516 -4.2737633263918955 -0.045060831041023375 3.871400172703946 -9.251825271747979 0.009501490886818054 -3.372233681024893 -18.838208641155337 -0.02640041647469479 -1.0850823942432812 29.867327578563454 -0.5901202221130474 -2.217996971270474 1.9637592960197598 1.2719716095806004 
10 932.8232995903163 -6.3966715594070605e+22 108.14482809660939 0.3828450590625391 -0.004287146622757033 0.0053977352606037554 9.52312818405054e-05 3.419708006482151 -3.736105918680092 -0.06147920593469907 4.387288815925744 -9.004958152466926 -0.015301206530417423 -2.9559879348379083 -18.9282668008957 -0.03214887053845793 -1.4262667505540292 29.855251130578676 -0.5820302750735343 -3.0056143774153936 1.1523346906289333 1.3492378935286382 
11 1050.7585557716618 -6.39667164548161e+22 117.93525618134558 0.5422467935527484 -0.005001579062223678 0.004644807724813757 0.00011814271719669177 4.007944283156538 -3.0375406148699393 -0.07750996229132295 4.932598335973763 -8.700362839902194 -0.04228714051639144 -2.500402006281095 -19.015845986335414 -0.03839958429175934 -1.7981266393137085 29.837668368812697 -0.5731219296326648 -3.5885342846265686 0.16039800781998803 1.3090557559932108 
