Step T Etot SunX SunY SunZ JupiterX JupiterY JupiterZ SaturnX SaturnY SaturnZ UranusX UranusY UranusZ NeptuneX NeptuneY NeptuneZ 67P/C-GX 67P/C-GY 67P/C-GZ 
100 1800 -5.687897929443536e+22 -0.00679847062444867 -0.0011639015307619528 0.00020646484808216673 5.025913672144186 2.2506133176768532 -0.12182470961854645 7.879182719565031 -6.0360741290017215 -0.20603642281995757 0.4170499363986706 -19.326629059463585 -0.07749418135457982 -4.1524414097373645 29.62414533428402 -0.5146166953591643 -5.954516271333737 -3.9841610490104986 1.116466626371261 
110 1980 -5.629049131958341e+22 -0.0063847261028531005 -0.002564324498333335 0.0002084885707861559 4.439069717537991 3.471117103247327 -0.11362178760563621 8.404750385675872 -5.217353184476927 -0.24129138289441637 1.1195796416660264 -19.33294119979754 -0.08665261336821256 -4.714765602360381 29.544607159475067 -0.5000550837300656 -5.900639417500382 -5.0449127542811985 0.8335711114411781 
120 2160 -5.575908856189583e+22 -0.00571646077950136 -0.0038094410582436558 0.00020395190532080228 3.6102543246133796 4.512637241393995 -0.09926424610819956 8.847788125121385 -4.3462860746758585 -0.2741962231417036 1.8207232016085488 -19.313691992333915 -0.09569765359574796 -5.2754208677859085 29.45448230293821 -0.4853137977334453 -5.724357287398554 -6.004052445570882 0.5326031581086493 
130 2340 -5.528249966810056e+22 -0.004846775356440001 -0.0048587125593839865 0.00019382365139959253 2.596735801236528 5.33513779087623 -0.07987364467252099 9.202937128133819 -3.4309899590175417 -0.30439581688828854 2.519564861543815 -19.269036718504097 -0.10461796774200911 -5.8342069021299565 29.35380721391353 -0.47039818579900283 -5.449850350922891 -6.862669848190706 0.2218621567173088 
140 2520 -5.4855906454450695e+22 -0.0038312345640609735 -0.005688100136284235 0.00017919625662720317 1.4581409341365394 5.916053092952718 -0.0566954921945635 9.465581696316919 -2.4801915887585566 -0.3315536679789239 3.2152014839082854 -19.199161831510416 -0.11340250234381624 -6.390924308292626 29.242622021103056 -0.45531364997195234 -5.09571438139436 -7.623187646951379 -0.09266404528045709 
150 2700 -5.4473238473873975e+22 -0.0027235117114111484 -0.006287748075550074 0.00016117934650931604 0.2518665429942898 6.247844086547968 -0.0309864044480576 9.631933695029714 -1.5031720277382414 -0.3553562371184303 3.906743412803582 -19.104284172128292 -0.12204049379289987 -6.945374717041424 29.120970567740354 -0.4400656449986867 -4.676589397557533 -8.288460546900847 -0.40649759655912054 
160 2880 -5.412812806842671e+22 -0.0015726779441422591 -0.006659041824480004 0.00014082764637121434 -0.9697854505048255 6.334895133468479 -0.003937231128867189 9.6991157252578 -0.5096969767648121 -0.375517476117643 4.593315290770967 -18.984650141482 -0.13052147615309395 -7.497360892184116 28.988900470359507 -0.4246596785577593 -4.204272662535891 -8.861342654950727 -0.7161684724996616 
170 3060 -5.381449713582055e+22 -0.0004218559574815119 -0.006811711168406409 0.00011909972815513964 -2.1610422928267643 6.190453583646557 0.023371558316193208 9.665240469751367 0.49006819983779026 -0.3917834819914826 5.274056828960892 -18.840534842187733 -0.1388352879819187 -8.046686807296219 28.84646318362924 -0.40910131218022694 -3.688491475677557 -9.34448255187874 -1.0188895386097148 
180 3240 -5.352685014407993e+22 0.0006921640606320522 -0.006761338007252726 9.684001036377973e-05 -3.2830845161293767 5.833988512590096 0.049990129321972686 9.529483221951459 1.4856592075237278 -0.40393715908588557 5.948123531230062 -18.67224119787269 -0.14697207830784872 -8.5931576894633 28.69371404745913 -0.39339616204511185 -3.1374515021959217 -9.740231228873691 -1.3123392597856327 
190 3420 -5.326037151853123e+22 0.001738720987709558 -0.006527393967440075 7.477609938665578e-05 -4.3038514996485935 5.28909988001046 0.07510342563440764 9.292144249732091 2.466429181465296 -0.41180275353167606 6.614687372611223 -18.480099059327195 -0.15492231187142516 -9.13658003738497 28.530712296027623 -0.37754989879154865 -2.558235698004088 -10.050606296468942 -1.5945113747367754 
200 3600 -5.301091020655844e+22 0.002692778966141784 -0.006131794337275056 5.3524956541217285e-05 -5.197528235817872 4.581964216166797 0.09802598075254364 8.954697421948826 3.4216797982374634 -0.415250102701694 7.272937432743411 -18.264464303832796 -0.16267677370806555 -9.676761630153303 28.357521021235293 -0.3615682458477162 -1.9571028601012732 -10.277283844185611 -1.8636070369505462 
210 3780 -5.2774908652054035e+22 0.003534317197929518 -0.0055978905039002205 3.360319992654798e-05 -5.943915420056207 3.740235822735765 0.11819225985182491 8.519821483326886 4.340805403949736 -0.41419842564157133 7.9220804850549875 -18.025717932718702 -0.17022657312986847 -10.213511543804552 28.17420709833939 -0.3454569763375724 -1.339718444369378 -10.421603225930376 -2.117954188736706 
220 3960 -5.254931086914499e+22 0.004247731744672196 -0.0049498044976238305 1.543846617685668e-05 -6.52780589295784 2.7923032956915477 0.13514569893783546 7.991410548853792 5.213447491554548 -0.40861947142811683 8.561341542677189 -17.76426517098204 -0.17756314715015067 -10.746640186133138 27.980841090920283 -0.3292219090606934 -0.7113399998327941 -10.48457717024937 -2.355944354999633 
230 4140 -5.2331468417880635e+22 0.004821314571609908 -0.0042120136735261686 -6.200337605338322e-07 -6.9384348920265335 1.7668060933476888 0.14852834168173873 7.374560837661593 6.029655922591257 -0.3985398436864386 9.189964362198344 -17.480534571845727 -0.18467826338571383 -11.275959351537532 27.777497152803384 -0.3128689041633895 -0.07697312914448025 -10.466903389846875 -2.5759802647530963 
