T Sun_r_err Sun_v_err Jupiter_r_err Jupiter_v_err Saturn_r_err Saturn_v_err Uranus_r_err Uranus_v_err Neptune_r_err Neptune_v_err 67P/C-G_r_err 67P/C-G_v_err 
18 0.03594977798634523 0.019824809951186715 0.042363762131913764 0.022543818363238637 0.002789916299143326 0.00211458642017993 1.69349447100294e-05 1.766219518592669e-05 9.318276007374427e-07 5.286207444432345e-06 0.2437503459848226 0.3535289181172137 
108.0 0.07559052104420143 0.0382288363078205 0.08690066190785825 0.04112221710917183 0.004712538999982243 0.0036551343331102594 3.081328815821833e-05 3.0308972106113815e-05 1.7840870810504898e-06 1.1701847983601969e-05 0.5759298898849765 1.0203988462738323 
108.0 0.043292189473447464 0.02219838281395864 0.049771904220816225 0.023908414855915577 0.0027166058483500933 0.0021283795742283815 1.7872966323510722e-05 1.7579470613168016e-05 1.028677905627185e-06 6.692408185180213e-06 0.33665568959852193 0.5514361546724231 
197.29971025289092 0.06360568202509014 0.0318277524328663 0.07052205702720056 0.032551136241995404 0.0018589198337963094 0.0011813597250311108 2.483158903184709e-05 1.7879044921749666e-05 1.3689610636311065e-06 9.686121956322355e-06 0.6052110503397286 1.0742575493720767 
197.29971025289092 0.03422562413630922 0.017297572043716947 0.037940931402178274 0.017701856412626865 0.0010057620356161679 0.0006528481054927089 1.3452735634431716e-05 9.811724859914005e-06 7.398581931196207e-07 5.2081235269514435e-06 0.32831943434602406 0.5378145746358051 
277.33083447930494 0.054751732999499356 0.028528492704241307 0.05748789332034996 0.02765072982864158 0.0008487547974359248 0.00039245680972235894 2.342738566961151e-05 9.495581588662874e-06 1.0532522634425913e-06 7.64733288970787e-06 0.703239504867315 1.0025791378072173 
277.33083447930494 0.03219377362034918 0.01686139765084063 0.03379567410546065 0.016345391841283585 0.0005006559635511894 0.00023902942021308132 1.377050397412853e-05 5.699516862980406e-06 6.202134981811141e-07 4.494233309098932e-06 0.4149101616683366 0.5562788494719244 
350.67030280340265 0.056855483478131026 0.03311971774267897 0.05367469353528833 0.029169124987378232 0.0004496422575356386 0.00011978416706016284 2.107494876619713e-05 5.0000726125049764e-06 9.103772612654592e-07 6.45071194996172e-06 0.9624901488021467 0.9161232182135224 
424.89044073288085 0.04399214337702036 0.01706122458464722 0.06653342661198165 0.022772808402845558 0.0002520881922748124 2.4047334833249084e-05 8.064948555452539e-06 2.4057294477712873e-06 9.209153140068419e-07 5.798489731580538e-06 1.6646666302546385 0.796679149901605 
424.89044073288085 0.013782844367047022 0.005349499311058538 0.02086240010192311 0.007139472191623296 7.893088661600314e-05 8.85031724425149e-06 2.485633082013884e-06 7.925890930242988e-07 2.8747328304584827e-07 1.8152576020079305e-06 0.5340838536758066 0.23332655349142395 
478.2234020879889 0.017822845420166 0.004482159509662627 0.019678900437573827 0.005647061040747336 8.797061420652281e-05 9.678842254689029e-06 2.3582251229877874e-06 7.056211686266528e-07 6.850858689251601e-07 3.1349032494985908e-06 0.600959791255338 0.35596006240672184 
532.63811204281 0.015260263187339123 0.0033330500569052233 0.0234289053370896 0.004034281686388549 8.983230785204776e-05 1.571192860087148e-05 1.987557248843559e-06 5.901492172741086e-07 3.6361533278893006e-07 5.666944210577357e-06 0.6288400684266837 0.4872699204790721 
586.8618864887397 0.009456269865512533 0.002530926449568183 0.01935312233143018 0.0029949500305341843 9.3000015556989e-05 1.7692191881110345e-05 1.6856951313696916e-06 5.704692485222349e-07 2.2741945748837717e-07 3.3334592288115557e-06 0.9101025292737572 0.6471810154760672 
640.4075387373167 0.004766048766315139 0.001398462215370776 0.008432852539559664 0.0016321723871137797 7.09341625243268e-05 1.132895545851328e-05 1.024787769038697e-06 4.4183515956846933e-07 1.1352582650427437e-07 1.3911686879170656e-06 0.4324858995335657 0.2342240335246682 
689.5151329289323 0.005271118295260179 0.0016451394497321973 0.008635837859539492 0.0018997013695130158 0.00011513607359058009 1.310446159456833e-05 1.3257752529263077e-06 7.442035607311533e-07 1.2494921328078213e-07 1.325693698773992e-06 0.3056256723426117 0.21866501949143097 
741.7784267724967 0.008374381436361331 0.0027414707900088684 0.01305972670757782 0.0031374984151660867 0.00027581545745916316 1.8259929114091544e-05 2.440218505192348e-06 1.7591974878785548e-06 1.9914493398543675e-07 1.8051344445897415e-06 0.3392062241902789 0.316729919741279 
801.3997101650141 0.012234048642819137 0.0041382700929455075 0.01848022324023676 0.004704115741868236 0.000670111675575045 2.531745332943065e-05 4.076162852146517e-06 3.653765886517282e-06 2.9289840540197316e-07 2.1718506686285545e-06 0.38184322220867345 0.4449926490617537 
868.0114944887208 0.014122379161155175 0.004836919903394256 0.020957718304669436 0.005483881856027769 0.001604612302152666 4.5293526228249576e-05 5.246827321690086e-06 5.603493002530248e-06 3.3744483964207894e-07 1.8983857994739348e-06 0.3504395193112904 0.544039343607364 
938.5007638940181 0.01401443218382465 0.004751144475940567 0.020718022235875586 0.005417942369518379 0.0008794966791486566 6.731737474602084e-05 5.598369659427358e-06 6.808035734299293e-06 3.2699025344122937e-07 1.215000697578942e-06 0.2856358685259138 0.7452035321532212 
1010.1546018338481 0.010843952324840507 0.0035703446624251343 0.016231643833066384 0.00416005515840474 0.0004754955216838674 6.37310902577445e-05 4.443279951404478e-06 5.8934743487040226e-06 2.3783746022754658e-07 4.3618838201717126e-07 0.2124860478167196 0.3096084107528308 
