Step T Etot SunX SunY SunZ JupiterX JupiterY JupiterZ SaturnX SaturnY SaturnZ UranusX UranusY UranusZ NeptuneX NeptuneY NeptuneZ 67P/C-GX 67P/C-GY 67P/C-GZ 
0 0 -6.396671386267694e+22 0.003183924263733498 0.00636632681121385 -0.0001037240355135752 -3.012855720528178 -4.453826368884578 0.08570103046237951 -0.3637829344823236 -10.05198529143576 0.1914802045363267 -6.476078853444196 -17.84707510334656 0.01765993483425928 1.518091525282913 29.8319240856806 -0.6492182620607416 3.896916675761423 -0.6277676615986945 -1.538519133698835 
10 200 -6.3158551372038324e+22 0.00162571499209196 0.006955519058168902 -6.590520016351804e-05 -1.6891000772757518 -5.0685630672982285 0.058510807875344746 0.6897672202795984 -10.044175151918683 0.1495877614071667 -5.737808991438876 -18.138054002697444 0.006972957588733611 0.8870988930973861 29.861886014940577 -0.6353336027164868 3.426719126282002 1.0220281786540129 -0.9620924362498171 
20 400 -6.231855391843111e+22 -6.454100097403893e-05 0.00714260466032212 -2.309756682443248e-05 -0.22537301441363736 -5.297647519175226 0.02661405235823657 1.7364234440799688 -9.919757339303695 0.1059092893569654 -4.9895137566410455 -18.39782991522622 -0.0037272889234554645 0.25568449902640744 29.878586497084516 -0.6211661334753521 2.18752501401429 2.4572533783110004 -0.16633546628282736 
30 600 -6.144384926060688e+22 -0.0017773459508969485 0.006899710485586363 2.2291470259456298e-05 1.2672871723912769 -5.111490424825301 -0.007618493670589383 2.7640479897685566 -9.680063704332287 0.060948923739747266 -4.232531595284289 -18.62614493991194 -0.014422621482779101 -0.3758714566455088 29.882023201958464 -0.6067222438020596 0.24050624945093638 3.1519591841680406 0.696261137572274 
40 800 -6.053889042211534e+22 -0.0033956347101598795 0.006230516362924946 6.755307358486118e-05 2.6698529836714666 -4.513214596036478 -0.04150444641785377 3.7607069809816163 -9.32757145766714 0.01522479682084054 -3.468201854151225 -18.822800795377923 -0.025095056929805442 -1.007288947931982 29.87219996158688 -0.5920084478207848 -1.870078599597841 2.8025346284132566 1.3572260043821454 
50 1000 -5.961658059265308e+22 -0.004805349287163219 0.00517407163126693 0.00010989900933522413 3.866365881060534 -3.542643380063158 -0.07228165634704962 4.714738791227522 -8.86593728018657 -0.030733496885629846 -2.697862219442627 -18.987656419625928 -0.03572681416983172 -1.6382882206059135 29.84912675461557 -0.577031381672157 -3.5917497471467197 1.709769556314264 1.6954986114437693 
60 1200 -5.8697429333822556e+22 -0.005908543411430191 0.003803827470773127 0.0001467598723263279 4.757650190597309 -2.2752874297399206 -0.09741948730357335 5.614805395086097 -8.299995712805796 -0.07638879100697023 -1.9228456587663116 -19.120625800267174 -0.0463003361061976 -2.26858988925518 29.812819662361864 -0.5617977999417895 -4.795122150238992 0.31290791062773 1.774457432953651 
70 1400 -5.780612474112261e+22 -0.006635995032887998 0.0022202655289672163 0.0001760983372221401 5.274504654674969 -0.8146327350138479 -0.11494561387713693 6.44996651415896 -7.635723024719568 -0.12120098541568437 -1.1444774158854127 -19.221676434116276 -0.05679832636782601 -2.897915037773457 29.763300797177756 -0.5463145711040408 -5.563851412981573 -1.1374903088676744 1.6860791757025202 
80 1600 -5.69662847063128e+22 -0.006955427678172443 0.0005378662933596038 0.00019664701832174437 5.386283723375747 0.7215027862982253 -0.12369387518122742 7.209786349455605 -6.8802053351306816 -0.16463154156767718 -0.3640723717164675 -19.290828257501495 -0.0672037894233654 -3.5259853285584497 29.700598208471472 -0.5305886720536177 -6.003482799961155 -2.5336168664415473 1.4945939678142277 
90 1800 -5.619551611978411e+22 -0.006872616268538002 -0.0011302456200515496 0.0002079962934229616 5.1020195557655725 2.217050167017219 -0.12339492070208763 7.884455303713593 -6.041618782820282 -0.20614803873851287 0.4170672126058744 -19.328152756876236 -0.07750006698313665 -4.152523126489655 29.624745776964343 -0.5146271819655688 -6.196154368944538 -3.83328696095655 1.2396109648425657 
100 2000 -5.55028351528081e+22 -0.006425463862882574 -0.0026856187355906577 0.0002105163045112106 4.464178040639465 3.5716350126672936 -0.11459297636248919 8.464917584940373 -5.129207478259718 -0.2452292316960778 1.1976536687576531 -19.333772063442996 -0.08767086863482433 -4.777251643382956 29.535783112137945 -0.49843727589694636 -6.2006769482696535 -5.021768174928076 0.9456412324056985 
