Step T Etot SunX SunY SunZ JupiterX JupiterY JupiterZ SaturnX SaturnY SaturnZ UranusX UranusY UranusZ NeptuneX NeptuneY NeptuneZ 67P/C-GX 67P/C-GY 67P/C-GZ 
100 1800 -6.396671817141259e+22 -0.006043812489845474 -0.0014594533415002477 0.000190691112802178 4.249666286602324 2.544839790730838 -0.10561329968062871 7.831005807820632 -5.98570778228581 -0.20501143050878745 0.41686137913430477 -19.312894369650714 -0.07744070314135086 -4.151698237794545 29.61873979975009 -0.5145224617088493 -2.7267339151069487 -4.867028811259973 -0.2468383287643975 
110 1980 -6.396672960823363e+22 -0.005357175725957455 -0.0027602734271372988 0.0001861498295325089 3.3805792902458665 3.6593305429207703 -0.090649143831965 8.344394615576487 -5.161572592577598 -0.23987947333616122 1.1188536223168926 -19.317695455425962 -0.08658655034069544 -4.713834799255175 29.538656835965124 -0.49995394391073267 -1.8952496583384284 -5.4357332390449145 -0.6828173628336848 
120 2160 -6.396673784709417e+22 -0.004398338021587592 -0.0038088343403602357 0.00017424694146438112 2.251612191286948 4.4932824228719666 -0.06871551964319021 8.773211934701731 -4.285163356321803 -0.27231545690221215 1.8193654823302934 -19.29690826732394 -0.09561768263937434 -5.2742816324393935 29.447986146122577 -0.4852062061899297 -0.969798767165303 -5.736569412012793 -1.0853881175228786 
130 2340 -6.396674234102398e+22 -0.003252352536797204 -0.004549950635375241 0.00015660632077685424 0.9535944478399944 4.991357358720648 -0.041624457516749695 9.111814679247063 -3.36474106377162 -0.3019503513474175 2.5174807942283066 -19.2506875641082 -0.10452276221179536 -5.832838481840463 29.346764074577536 -0.47028459383130444 0.0007362361220568658 -5.771654558623994 -1.4377445808504836 
140 2520 -6.3966743336404784e+22 -0.002012515641796379 -0.004956685434180077 0.000135152485723683 -0.41422222584550433 5.1280166739010715 -0.011498093775108575 9.35527274840041 -2.4092435231635436 -0.3284313565836059 3.212295815326101 -19.179219358845057 -0.1132907306449673 -6.389306076750362 29.235030746177046 -0.4551945080114358 0.9710642631273521 -5.543365186498083 -1.724419608613079 
150 2700 -6.396674154924453e+22 -0.0007711437988048536 -0.005029302893762187 0.00011190010415769135 -1.7538546292709902 4.906411666236418 0.019453180422926562 9.49946201603849 -1.4282456223780182 -0.35142630157137406 3.9029200551543872 -19.08272015298961 -0.12191081700049586 -6.943486219593537 29.11283017686352 -0.4399414079257317 1.8951431007072113 -5.054155849065534 -1.9297014437928959 
160 2880 -6.396673782205216e+22 0.00038763137312867557 -0.004791543155172697 8.877794047191197e-05 -2.976165417173674 4.354464737626407 0.04911660040302105 9.541160607021569 -0.4319053597439179 -0.37062843111826727 4.58847705226591 -18.96143611214328 -0.13037254441416968 -7.495181811774054 28.980210359221946 -0.42453081306658974 2.7216535357950224 -4.3076642471849365 -2.036305940830775 
170 3060 -6.396673289393338e+22 0.0013926318042722728 -0.0042856041011727014 6.750225070965846e-05 -4.005888439692037 3.5195908047534994 0.07561120545075119 9.478146480541183 0.5691063826312542 -0.3857615341978372 5.268105099193872 -18.81564219484371 -0.13866573550837927 -8.044196834521765 28.837223269398265 -0.4089683035028942 3.3884331065821858 -3.311753032112073 -2.0241632875797597 
180 3240 -6.396672730411902e+22 0.002188215870286966 -0.0035669486996799077 4.949855441641759e-05 -4.78436364561329 2.463230554855726 0.09737141276194408 9.30929367349249 1.5636941917792302 -0.39658533982057576 5.940957915917192 -18.645641245794277 -0.14678051683710155 -8.590336329175052 28.68392478448849 -0.39325951712632656 3.814979039940937 -2.0855369533874453 -1.8695150335264195 
190 3420 -6.39667213886568e+22 0.0027352509850529574 -0.0026996102981979428 3.5861600188808254e-05 -5.270583493927528 1.2558995132920803 0.11319062447283436 9.034663861719284 2.5404461275631336 -0.4029010734752644 6.6062052718362505 -18.451763063399763 -0.1547073225328294 -9.133406414616422 28.5203745470833 -0.37741014461283934 3.8928906693752805 -0.675462716821817 -1.545540091146511 
