Step T Etot SunX SunY SunZ JupiterX JupiterY JupiterZ SaturnX SaturnY SaturnZ UranusX UranusY UranusZ NeptuneX NeptuneY NeptuneZ 67P/C-GX 67P/C-GY 67P/C-GZ 
0 0 -6.396671386267694e+22 0.003183924263733498 0.00636632681121385 -0.0001037240355135752 -3.012855720528178 -4.453826368884578 0.08570103046237951 -0.3637829344823236 -10.05198529143576 0.1914802045363267 -6.476078853444196 -17.84707510334656 0.01765993483425928 1.518091525282913 29.8319240856806 -0.6492182620607416 3.896916675761423 -0.6277676615986945 -1.538519133698835 
10 200 -6.396667083921262e+22 0.0016188946951475346 0.006934612790668326 -6.564759292013696e-05 -1.6818663095053816 -5.048451523915717 0.05826683308262082 0.6893998888327157 -10.038311007914158 0.14949876138609056 -5.737309730554573 -18.136491780935273 0.006972327384025366 0.887078291753308 29.861222767143143 -0.6353194697883038 3.3844471938123113 1.0132796285413816 -0.949278115309505 
20 400 -6.396666223583177e+22 -6.860748776235361e-05 0.007093606142374737 -2.277370216733239e-05 -0.22056322432448788 -5.249912783933866 0.026312210192220402 1.7344586377838882 -9.907977317214678 0.10577910151060778 -4.988647270104388 -18.39467174311798 -0.003726727149645224 0.25567128163845015 29.877258915558546 -0.6211384882286739 2.0707598547971156 2.381991925929128 -0.1436467516355712 
30 600 -6.396665570294267e+22 -0.0017669492408753516 0.006813997305994554 2.2448178309712186e-05 1.257784598937671 -5.02712207417393 -0.00774825669239646 2.7592338836647805 -9.662295452999395 0.06082613353079319 -4.231429086551676 -18.621357759959288 -0.014419060250140295 -0.3758492856190652 29.88003023635757 -0.6066817083230711 0.04298831448369039 2.8693514649193927 0.6960234590693694 
40 800 -6.396665276329792e+22 -0.0033544921197024287 0.0060976443255683 6.721391842373007e-05 2.6293720140555528 -4.381297901826701 -0.04113289956851485 3.7517458447761083 -9.303728064743206 0.0151598349477319 -3.466993835799533 -18.816351896641166 -0.02508669638858811 -1.0072033697505136 29.869540599294837 -0.5919556456431949 -2.00502374646321 2.124737733268536 1.2365430091705991 
50 1000 -6.396665506003216e+22 -0.004708721146217218 0.004982810486749886 0.00010854851776187914 3.769404508252486 -3.351443690494668 -0.07088478144146064 4.70025179532957 -8.835919788110344 -0.030687245192319267 -2.6966786426248297 -18.979513059064697 -0.035711856211371296 -1.6381111819992 29.845800017422654 -0.5769669381600427 -3.3721564358366654 0.5942000026241391 1.3402902009430815 
60 1200 -6.3966663796788184e+22 -0.005718743603458534 0.003546350343553043 0.00014357787128130533 4.565178902377397 -2.0166403468041314 -0.09415528590853217 5.593292560824127 -8.263689853854437 -0.07617377160955843 -1.9218159951618212 -19.110754897680604 -0.04627698154992271 -2.2682932799397766 29.80882459598404 -0.5617223424935137 -3.9534261167307188 -1.107480533503971 1.1229618584505268 
70 1400 -6.396667884743898e+22 -0.0062998316654894375 0.001900537735726114 0.0001698681793305345 4.9312973917908325 -0.49273254917630854 -0.10855845390187377 6.419765577205697 -7.59300051149702 -0.12075381559667085 -1.1437307590007701 -19.210044348984695 -0.056764773833385136 -2.897470666255571 29.75863644911982 -0.5462287290245496 -3.924958591987667 -2.6541558523195667 0.7281252224426599 
80 1600 -6.3966698218502025e+22 -0.006407025302243704 0.00018302992900670796 0.00018577226056454174 4.8238884146961825 1.078179913049369 -0.1125326330980258 7.169026864911406 -6.830938039366011 -0.16388077840874546 -0.36373757741711277 -19.277400624651797 -0.06715823475041598 -3.5253648998648193 29.695263588858296 -0.5304930758554941 -3.4700652299433075 -3.920955199645214 0.2518306166777155 
90 1800 -6.396671841061246e+22 -0.006043814219463808 -0.0014594505470331405 0.0001906911383920939 4.2496681596243455 2.544836930328933 -0.10561333005447111 7.831005607623076 -5.985708006732375 -0.20501141863317734 0.4168613501901778 -19.312894373067344 -0.07744070277760698 -4.15169823155327 29.618739800717286 -0.5145224618720975 -2.7267326300753916 -4.86702983168804 -0.24683903741678673 
