            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
2416800.500000000, A.D. 1904-Nov-16 00:00:00.0000,  4.328831804980868E+00,  2.406122625866521E+00, -1.068320290442578E-01,
2416810.500000000, A.D. 1904-Nov-26 00:00:00.0000,  4.290803538158102E+00,  2.475332562412409E+00, -1.062601680812445E-01,
2416820.500000000, A.D. 1904-Dec-06 00:00:00.0000,  4.251735384832580E+00,  2.543939239235490E+00, -1.056626023731359E-01,
2416830.500000000, A.D. 1904-Dec-16 00:00:00.0000,  4.211634987551840E+00,  2.611930479965498E+00, -1.050393444378306E-01,
2416840.500000000, A.D. 1904-Dec-26 00:00:00.0000,  4.170513456061263E+00,  2.679290313751858E+00, -1.043905839950545E-01,
2416850.500000000, A.D. 1905-Jan-05 00:00:00.0000,  4.128382948965766E+00,  2.745998142657471E+00, -1.037166210364965E-01,
2416860.500000000, A.D. 1905-Jan-15 00:00:00.0000,  4.085251178095147E+00,  2.812045769882491E+00, -1.030174150642472E-01,
2416870.500000000, A.D. 1905-Jan-25 00:00:00.0000,  4.041133050909776E+00,  2.877410220958381E+00, -1.022933942722950E-01,
2416880.500000000, A.D. 1905-Feb-04 00:00:00.0000,  3.996036721022968E+00,  2.942080804300694E+00, -1.015446006190748E-01,
2416890.500000000, A.D. 1905-Feb-14 00:00:00.0000,  3.949975473900693E+00,  3.006043339456768E+00, -1.007712174220436E-01,
2416900.500000000, A.D. 1905-Feb-24 00:00:00.0000,  3.902962553703991E+00,  3.069277008107860E+00, -9.997362433749404E-02,
2416910.500000000, A.D. 1905-Mar-06 00:00:00.0000,  3.855006457974236E+00,  3.131775542493226E+00, -9.915178976688092E-02,
2416920.500000000, A.D. 1905-Mar-16 00:00:00.0000,  3.806123981384304E+00,  3.193517159999834E+00, -9.830616018331401E-02,
2416930.500000000, A.D. 1905-Mar-26 00:00:00.0000,  3.756324281149850E+00,  3.254491248583805E+00, -9.743684918424041E-02,
2416940.500000000, A.D. 1905-Apr-05 00:00:00.0000,  3.705621121440024E+00,  3.314685871070580E+00, -9.654404286136499E-02,
2416950.500000000, A.D. 1905-Apr-15 00:00:00.0000,  3.654029840438815E+00,  3.374081206583575E+00, -9.562814301143679E-02,
2416960.500000000, A.D. 1905-Apr-25 00:00:00.0000,  3.601559843728488E+00,  3.432671456839179E+00, -9.468917594894111E-02,
2416970.500000000, A.D. 1905-May-05 00:00:00.0000,  3.548228307882814E+00,  3.490436891575250E+00, -9.372759730197405E-02,
2416980.500000000, A.D. 1905-May-15 00:00:00.0000,  3.494046681296951E+00,  3.547367750625071E+00, -9.274354533389569E-02,
2416990.500000000, A.D. 1905-May-25 00:00:00.0000,  3.439028854810463E+00,  3.603452839933496E+00, -9.173726568957011E-02,
2417000.500000000, A.D. 1905-Jun-04 00:00:00.0000,  3.383190913099459E+00,  3.658674540267579E+00, -9.070915885258972E-02,
2417010.500000000, A.D. 1905-Jun-14 00:00:00.0000,  3.326544605430874E+00,  3.713027955087034E+00, -8.965927166037133E-02,
2417020.500000000, A.D. 1905-Jun-24 00:00:00.0000,  3.269106767629531E+00,  3.766494061940350E+00, -8.858812478306706E-02,
2417030.500000000, A.D. 1905-Jul-04 00:00:00.0000,  3.210890183271925E+00,  3.819065349478397E+00, -8.749584402257968E-02,
2417040.500000000, A.D. 1905-Jul-14 00:00:00.0000,  3.151910322003296E+00,  3.870731318481047E+00, -8.638271301407960E-02,
2417050.500000000, A.D. 1905-Jul-24 00:00:00.0000,  3.092182838083645E+00,  3.921475385660837E+00, -8.524918704400793E-02,
