            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
2415680.500000000, A.D. 1901-Oct-23 00:00:00.0000, -6.121657036959692E-01,  2.767774438562599E+00,  9.029062374700572E-01, -1.077120516210422E-02, -2.647068353155811E-03,  3.158402540877111E-03,
2415690.500000000, A.D. 1901-Nov-02 00:00:00.0000, -7.195133256706424E-01,  2.739750480510724E+00,  9.339748399991393E-01, -1.069640048804729E-02, -2.956797552587829E-03,  3.054867964849671E-03,
2415700.500000000, A.D. 1901-Nov-12 00:00:00.0000, -8.260559401011980E-01,  2.708658008620814E+00,  9.639950604965913E-01, -1.061026521254891E-02, -3.260671798382254E-03,  2.948772662678719E-03,
2415710.500000000, A.D. 1901-Nov-22 00:00:00.0000, -9.316821557964201E-01,  2.674558481541003E+00,  9.929426941138483E-01, -1.051318895450567E-02, -3.558116425705280E-03,  2.840397695424899E-03,
2415720.500000000, A.D. 1901-Dec-02 00:00:00.0000, -1.036284669727892E+00,  2.637518885084785E+00,  1.020796360073146E+00, -1.040559895389066E-02, -3.848601120394340E-03,  2.730026428981587E-03,
2415730.500000000, A.D. 1901-Dec-12 00:00:00.0000, -1.139760619673521E+00,  2.597611276213686E+00,  1.047537513244351E+00, -1.028795532582970E-02, -4.131642308389686E-03,  2.617942256142593E-03,
2415740.500000000, A.D. 1901-Dec-22 00:00:00.0000, -1.242011888562012E+00,  2.554912306541406E+00,  1.073150433503814E+00, -1.016074615962526E-02, -4.406804861106078E-03,  2.504426436624407E-03,
2415750.500000000, A.D. 1902-Jan-01 00:00:00.0000, -1.342945359367609E+00,  2.509502732137487E+00,  1.097622194186694E+00, -1.002448254499545E-02, -4.673703135429297E-03,  2.389756079197929E-03,
2415760.500000000, A.D. 1902-Jan-11 00:00:00.0000, -1.442473120285965E+00,  2.461466916133659E+00,  1.120942611165971E+00, -9.879693616485823E-03, -4.932001378198559E-03,  2.274202288672629E-03,
2415770.500000000, A.D. 1902-Jan-21 00:00:00.0000, -1.540512620782620E+00,  2.410892330316659E+00,  1.143104174306239E+00, -9.726921695885831E-03, -5.181413531710475E-03,  2.158028496180378E-03,
2415780.500000000, A.D. 1902-Jan-31 00:00:00.0000, -1.636986779848358E+00,  2.357869061455530E+00,  1.164101963180280E+00, -9.566717602134383E-03, -5.421702490834302E-03,  2.041488982430402E-03,
2415790.500000000, A.D. 1902-Feb-10 00:00:00.0000, -1.731824048458504E+00,  2.302489327546284E+00,  1.183933549001658E+00, -9.399636192752017E-03, -5.652678873084632E-03,  1.924827598417569E-03,
2415800.500000000, A.D. 1902-Feb-20 00:00:00.0000, -1.824958428861130E+00,  2.244847008536347E+00,  1.202598884782641E+00, -9.226232197073695E-03, -5.874199361759170E-03,  1.808276691538051E-03,
2415810.500000000, A.D. 1902-Mar-02 00:00:00.0000, -1.916329453823016E+00,  2.185037195512662E+00,  1.220100185802454E+00, -9.047056378636495E-03, -6.086164681646146E-03,  1.692056240496958E-03,
2415820.500000000, A.D. 1902-Mar-12 00:00:00.0000, -2.005882129266123E+00,  2.123155761670179E+00,  1.236441802442569E+00, -8.862652057016253E-03, -6.288517277202432E-03,  1.576373194175557E-03,
2415830.500000000, A.D. 1902-Mar-22 00:00:00.0000, -2.093566844024763E+00,  2.059298957783623E+00,  1.251630087439737E+00, -8.673552010185482E-03, -6.481238741787659E-03,  1.461421014653453E-03,
2415840.500000000, A.D. 1902-Apr-01 00:00:00.0000, -2.179339250504166E+00,  1.993563034377787E+00,  1.265673259505926E+00, -8.480275751759173E-03, -6.664347060837702E-03,  1.347379403191066E-03,
2415850.500000000, A.D. 1902-Apr-11 00:00:00.0000, -2.263160119983879E+00,  1.926043892108888E+00,  1.278581265029181E+00, -8.283327182740712E-03, -6.837893736633356E-03,  1.234414187532136E-03,
2415860.500000000, A.D. 1902-Apr-21 00:00:00.0000, -2.344995176297991E+00,  1.856836761254491E+00,  1.290365639386085E+00, -8.083192613746036E-03, -7.001960850391587E-03,  1.122677354289205E-03,
2415870.500000000, A.D. 1902-May-01 00:00:00.0000, -2.424814911542333E+00,  1.786035910691926E+00,  1.301039369236518E+00, -7.880339145587733E-03, -7.156658110066084E-03,  1.012307210254931E-03,
2415880.500000000, A.D. 1902-May-11 00:00:00.0000, -2.502594387308112E+00,  1.713734386288896E+00,  1.310616757007199E+00, -7.675213390986270E-03, -7.302119926760707E-03,  9.034286562565735E-04,
2415890.500000000, A.D. 1902-May-21 00:00:00.0000, -2.578313024764397E+00,  1.640023778240341E+00,  1.319113288620209E+00, -7.468240519189318E-03, -7.438502553479082E-03,  7.961535603648489E-04,
2415900.500000000, A.D. 1902-May-31 00:00:00.0000, -2.651954386681295E+00,  1.564994016602331E+00,  1.326545505384398E+00, -7.259823592967837E-03, -7.565981312007072E-03,  6.905812131492060E-04,
2415910.500000000, A.D. 1902-Jun-10 00:00:00.0000, -2.723505954147781E+00,  1.488733193972269E+00,  1.332930880751720E+00, -7.050343167658977E-03, -7.684747941815869E-03,  5.867988432334783E-04,
2415920.500000000, A.D. 1902-Jun-20 00:00:00.0000, -2.792958900523630E+00,  1.411327413995023E+00,  1.338287702501374E+00, -6.840157134784856E-03, -7.795008086897366E-03,  4.848821860888361E-04,
2415930.500000000, A.D. 1902-Jun-30 00:00:00.0000, -2.860307864918735E+00,  1.332860664276695E+00,  1.342634960824409E+00, -6.629600778243955E-03, -7.896978929671618E-03,  3.848960924446374E-04,
2415940.500000000, A.D. 1902-Jul-10 00:00:00.0000, -2.925550727170484E+00,  1.253414712169251E+00,  1.345992242626552E+00, -6.418987013368405E-03, -7.990886984531849E-03,  2.868951615369138E-04,
2415950.500000000, A.D. 1902-Jul-20 00:00:00.0000, -2.988688386019902E+00,  1.173069021792494E+00,  1.348379632243338E+00, -6.208606783434858E-03, -8.076966057435214E-03,  1.909243887292217E-04,
2415960.500000000, A.D. 1902-Jul-30 00:00:00.0000, -3.049724541935904E+00,  1.091900690620220E+00,  1.349817618664406E+00, -5.998729588658817E-03, -8.155455373618645E-03,  9.701981821129819E-05,
2415970.500000000, A.D. 1902-Aug-09 00:00:00.0000, -3.108665485793023E+00,  1.009984403946911E+00,  1.350327009274508E+00, -5.789604124403692E-03, -8.226597873711085E-03,  5.209192491198686E-06,
2415980.500000000, A.D. 1902-Aug-19 00:00:00.0000, -3.165519894401981E+00,  9.273924055624059E-01,  1.349928850053747E+00, -5.581459010854760E-03, -8.290638674675348E-03, -8.448740563547158E-05,
2415990.500000000, A.D. 1902-Aug-29 00:00:00.0000, -3.220298633708114E+00,  8.441944830352001E-01,  1.348644352139718E+00, -5.374503592196114E-03, -8.347823685930773E-03, -1.720569244888090E-04,
2416000.500000000, A.D. 1902-Sep-08 00:00:00.0000, -3.273014570225307E+00,  7.604579660657924E-01,  1.346494824564586E+00, -5.168928782405060E-03, -8.398398379375822E-03, -2.574927377795552E-04,
2416010.500000000, A.D. 1902-Sep-18 00:00:00.0000, -3.323682391128267E+00,  6.762477363931986E-01,  1.343501612938338E+00, -4.964907949615820E-03, -8.442606706321645E-03, -3.407940607454546E-04,
2416020.500000000, A.D. 1902-Sep-28 00:00:00.0000, -3.372318433323017E+00,  5.916262478573457E-01,  1.339686043855187E+00, -4.762597824419857E-03, -8.480690147532393E-03, -4.219653902936167E-04,
2416030.500000000, A.D. 1902-Oct-08 00:00:00.0000, -3.418940521651634E+00,  5.066535553336894E-01,  1.335069374756463E+00, -4.562139416132009E-03, -8.512886887450282E-03, -5.010159742583574E-04,
2416040.500000000, A.D. 1902-Oct-18 00:00:00.0000, -3.463567816247937E+00,  4.213873513363298E-01,  1.329672748941201E+00, -4.363658924929644E-03, -8.539431105075879E-03, -5.779593129965300E-04,
2416050.500000000, A.D. 1902-Oct-28 00:00:00.0000, -3.506220668954477E+00,  3.358830091567915E-01,  1.323517155392809E+00, -4.167268640756398E-03, -8.560552374948049E-03, -6.528126945731159E-04,
2416060.500000000, A.D. 1902-Nov-07 00:00:00.0000, -3.546920488639896E+00,  2.501936314677118E-01,  1.316623393091316E+00, -3.973067824187688E-03, -8.576475172071166E-03, -7.255967618757859E-04,
2416070.500000000, A.D. 1902-Nov-17 00:00:00.0000, -3.585689615237942E+00,  1.643701033946345E-01,  1.309012039515757E+00, -3.781143570232402E-03, -8.587418471031054E-03, -7.963351065103590E-04,
2416080.500000000, A.D. 1902-Nov-27 00:00:00.0000, -3.622551202326483E+00,  7.846114919334629E-02,  1.300703423083962E+00, -3.591571650534703E-03, -8.593595423343259E-03, -8.650538880793814E-04,
2416090.500000000, A.D. 1902-Dec-07 00:00:00.0000, -3.657529107971720E+00, -7.486608200930162E-03,  1.291717599252685E+00, -3.404417323375378E-03, -8.595213105317221E-03, -9.317814831136697E-04,
2416100.500000000, A.D. 1902-Dec-17 00:00:00.0000, -3.690647793509788E+00, -9.342858543771074E-02,  1.282074329986342E+00, -3.219736111373022E-03, -8.592472331442039E-03, -9.965481618780948E-04,
2416110.500000000, A.D. 1902-Dec-27 00:00:00.0000, -3.721932229938705E+00, -1.793221754385236E-01,  1.271793066325728E+00, -3.037574545201573E-03, -8.585567524284578E-03, -1.059385791573367E-03,
2416120.500000000, A.D. 1903-Jan-06 00:00:00.0000, -3.751407811563586E+00, -2.651266830381822E-01,  1.260892933793080E+00, -2.857970870227945E-03, -8.574686634499494E-03, -1.120327565734047E-03,
2416130.500000000, A.D. 1903-Jan-16 00:00:00.0000, -3.779100276519263E+00, -3.508032600542442E-01,  1.249392720377529E+00, -2.680955715358145E-03, -8.560011105513136E-03, -1.179407758464337E-03,
2416140.500000000, A.D. 1903-Jan-26 00:00:00.0000, -3.805035633792384E+00, -4.363148402026916E-01,  1.237310866860786E+00, -2.506552724041321E-03, -8.541715877151659E-03, -1.236661501936059E-03,
2416150.500000000, A.D. 1903-Feb-05 00:00:00.0000, -3.829240096363803E+00, -5.216260742243117E-01,  1.224665459256935E+00, -2.334779147523937E-03, -8.519969423564531E-03, -1.292124585763256E-03,
2416160.500000000, A.D. 1903-Feb-15 00:00:00.0000, -3.851740020108327E+00, -6.067032655460642E-01,  1.211474223160804E+00, -2.165646403878918E-03, -8.494933821286268E-03, -1.345833275314158E-03,
2416170.500000000, A.D. 1903-Feb-25 00:00:00.0000, -3.872561848120529E+00, -6.915143067410625E-01,  1.197754519826431E+00, -1.999160603464391E-03, -8.466764839656728E-03, -1.397824147611189E-03,
2416180.500000000, A.D. 1903-Mar-07 00:00:00.0000, -3.891732060109904E+00, -7.760286169887167E-01,  1.183523343792417E+00, -1.835323037391979E-03, -8.435612050509808E-03, -1.448133945934834E-03,
2416190.500000000, A.D. 1903-Mar-17 00:00:00.0000, -3.909277126510612E+00, -8.602170807257029E-01,  1.168797321877840E+00, -1.674130632804844E-03, -8.401618956050473E-03, -1.496799450571025E-03,
2416200.500000000, A.D. 1903-Mar-27 00:00:00.0000, -3.925223466990617E+00, -9.440519876474565E-01,  1.153592713398985E+00, -1.515576377548525E-03, -8.364923130332238E-03, -1.543857363781454E-03,
2416210.500000000, A.D. 1903-Apr-06 00:00:00.0000, -3.939597413054760E+00, -1.027506974178050E+00,  1.137925411467377E+00, -1.359649714338432E-03, -8.325656371103045E-03, -1.589344208463943E-03,
2416220.500000000, A.D. 1903-Apr-16 00:00:00.0000, -3.952425174440550E+00, -1.110556966502987E+00,  1.121810945236661E+00, -1.206336905389327E-03, -8.283944860279557E-03, -1.633296239510367E-03,
2416230.500000000, A.D. 1903-Apr-26 00:00:00.0000, -3.963732809019155E+00, -1.193178125242881E+00,  1.105264482977875E+00, -1.055621369060361E-03, -8.239909331365090E-03, -1.675749366569029E-03,
2416240.500000000, A.D. 1903-May-06 00:00:00.0000, -3.973546195929306E+00, -1.275347791830928E+00,  1.088300835875070E+00, -9.074839902493842E-04, -8.193665242750213E-03, -1.716739086943833E-03,
2416250.500000000, A.D. 1903-May-16 00:00:00.0000, -3.981891011702465E+00, -1.357044436650234E+00,  1.070934462450617E+00, -7.619034091666984E-04, -8.145322955887064E-03, -1.756300426342438E-03,
2416260.500000000, A.D. 1903-May-26 00:00:00.0000, -3.988792709177859E+00, -1.438247608956763E+00,  1.053179473548094E+00, -6.188562900673572E-04, -8.094987913360852E-03, -1.794467886842579E-03,
2416270.500000000, A.D. 1903-Jun-05 00:00:00.0000, -3.994276498991839E+00, -1.518937888571872E+00,  1.035049637793429E+00, -4.783175672860685E-04, -8.042760814895342E-03, -1.831275403312566E-03,
2416280.500000000, A.D. 1903-Jun-15 00:00:00.0000, -3.998367333419790E+00, -1.599096839328090E+00,  1.016558387452432E+00, -3.402606701120999E-04, -7.988737791934354E-03, -1.866756307507962E-03,
2416290.500000000, A.D. 1903-Jun-25 00:00:00.0000, -4.001089892367347E+00, -1.678706964250297E+00,  9.977188246127753E-01, -2.046577278559177E-04, -7.933010580054559E-03, -1.900943298992774E-03,
2416300.500000000, A.D. 1903-Jul-05 00:00:00.0000, -4.002468571316337E+00, -1.757751662450923E+00,  9.785437276255878E-01, -7.147975601572313E-05, -7.875666689499721E-03, -1.933868422109097E-03,
2416310.500000000, A.D. 1903-Jul-15 00:00:00.0000, -4.002527471048179E+00, -1.836215187723514E+00,  9.590455577526037E-01,  5.930317388279808E-05, -7.816789574270042E-03, -1.965563047672445E-03,
2416320.500000000, A.D. 1903-Jul-25 00:00:00.0000, -4.001290388994989E+00, -1.914082608815547E+00,  9.392364659769890E-01,  1.877217783577735E-04, -7.756458798582296E-03, -1.996057858475626E-03,
2416330.500000000, A.D. 1903-Aug-04 00:00:00.0000, -3.998780812083384E+00, -1.991339771347291E+00,  9.191282999405660E-01,  3.138074192005771E-04, -7.694750199630918E-03, -2.025382838469170E-03,
2416340.500000000, A.D. 1903-Aug-14 00:00:00.0000, -3.995021910949009E+00, -2.067973261340701E+00,  8.987326109736650E-01,  4.375919716633479E-04, -7.631736046628710E-03, -2.053567264911643E-03,
