Name, Mass, X, Y, Z, VX, VY, VZ
Sun, 1.9885E+30, 3.183924263733498E-03, 6.366326811213850E-03, -1.037240355135752E-04, -7.351806165942358E-06,  3.783175046382433E-06,  1.748675175718887E-07
Venus, 48.685E+23, 7.030381542930421E-01, -1.873141791671019E-01, -4.315078389862080E-02, 5.281314872524687E-03,  1.940756329770659E-02, -4.573708262821089E-05
Earth, 5.97219E+24, -1.937036131007113E-01,  9.697186805780735E-01,  1.102178545668980E-04, -1.715240790844719E-02, -3.504928770267816E-03, -1.640318466024335E-06
Mars, 6.1486E+23, 4.385511293600898E-01, -1.346145327941558E+00, -3.918344869077969E-02, 1.385060519157689E-02,  5.486535197270040E-03, -2.287733332275189E-04
Jupiter, 1.898E+27, -3.012855720528178E+00, -4.453826368884578E+00,  8.570103046237951E-02, 6.160216437231242E-03, -3.870453014698384E-03, -1.224274034724362E-04
Saturn, 5.6832E+26, -3.637829344823236E-01, -1.005198529143576E+01, 1.914802045363267E-01, 5.265826833320848E-03, -2.240556411791465E-04, -2.047413954197139E-04
Uranus, 8.681E+25, -6.476078853444196E+00, -1.784707510334656E+01,	 1.765993483425928E-02, 3.666887423912437E-03, -1.524670562537387E-03, -5.337890744069509E-05
Neptune, 1.0241E+26, 1.518091525282913E+00,	 2.983192408568060E+01, -6.492182620607416E-01, -3.153614811419376E-03,  1.796382205446193E-04,  6.877799984195886E-05
67P/C-G, 9.982E+12, 3.896916675761423E+00, -6.277676615986945E-01, -1.538519133698835E+00, -8.592463393135875E-04,	 8.186165487377276E-03,	 2.337520954272642E-03
